evidence_block,grain,item,item_2,rank_label,rank_value,orders,customers,order_lines,products,quantity,revenue,gross_margin_proxy,gross_margin_rate,avg_days_to_ship,avg_days_before_required,extra_metric_1,extra_value_1,notes
status_baseline,order_status,Shipped,,status_revenue_rank,1.0,303,98,2771,2771,97141.0,8865094.64,3537527.87,0.399,3.7624,4.4191,late_orders,1.0,status mix should be checked before assuming all orders are normal shipped orders
status_baseline,order_status,Cancelled,,status_revenue_rank,2.0,6,6,79,79,2634.0,238854.18,94368.28,0.3951,1.5,5.5,late_orders,0.0,status mix should be checked before assuming all orders are normal shipped orders
status_baseline,order_status,On Hold,,status_revenue_rank,3.0,4,4,44,44,1994.0,169575.61,61506.86,0.3627,,,late_orders,0.0,status mix should be checked before assuming all orders are normal shipped orders
status_baseline,order_status,In Process,,status_revenue_rank,4.0,6,6,41,41,1490.0,135271.52,54259.74,0.4011,,,late_orders,0.0,status mix should be checked before assuming all orders are normal shipped orders
status_baseline,order_status,Resolved,,status_revenue_rank,5.0,4,4,47,47,1660.0,134235.88,53654.26,0.3997,3.5,5.25,late_orders,0.0,status mix should be checked before assuming all orders are normal shipped orders
status_baseline,order_status,Disputed,,status_revenue_rank,6.0,3,3,14,14,597.0,61158.78,24563.24,0.4016,5.0,4.0,late_orders,0.0,status mix should be checked before assuming all orders are normal shipped orders
timeliness_baseline,timeliness_group,shipped_on_or_before_required,,timeliness_order_count_rank,1.0,311,98,2837,2837,99445.0,9061503.59,3615098.45,0.399,3.5595,4.627,orders,311.0,Timeliness compares shippedDate to requiredDate and should not be confused with days-to-ship.
timeliness_baseline,timeliness_group,not_shipped_or_missing_date,,timeliness_order_count_rank,2.0,14,13,141,141,5401.0,475294.17,184316.23,0.3878,,,orders,14.0,Timeliness compares shippedDate to requiredDate and should not be confused with days-to-ship.
timeliness_baseline,timeliness_group,shipped_after_required,,timeliness_order_count_rank,3.0,1,1,18,18,670.0,67392.85,26465.57,0.3927,65.0,-56.0,orders,1.0,Timeliness compares shippedDate to requiredDate and should not be confused with days-to-ship.
ship_duration_bucket,ship_duration_bucket,0-2 days_to_ship,,,,99,56,944,944,33376.0,3056175.69,1213370.4,0.397,1.4949,6.6869,late_orders,0.0,Days-to-ship buckets explain shipping speed separately from required-date lateness.
ship_duration_bucket,ship_duration_bucket,11+ days_to_ship,,,,1,1,18,18,670.0,67392.85,26465.57,0.3927,65.0,-56.0,late_orders,1.0,Days-to-ship buckets explain shipping speed separately from required-date lateness.
ship_duration_bucket,ship_duration_bucket,3-5 days_to_ship,,,,163,89,1413,1413,49100.0,4466969.89,1775449.3,0.3975,4.0429,4.1227,late_orders,0.0,Days-to-ship buckets explain shipping speed separately from required-date lateness.
ship_duration_bucket,ship_duration_bucket,6-10 days_to_ship,,,,49,38,480,480,16969.0,1538358.01,626278.75,0.4071,6.1224,2.1429,late_orders,0.0,Days-to-ship buckets explain shipping speed separately from required-date lateness.
ship_duration_bucket,ship_duration_bucket,not_shipped_or_missing_date,,,,14,13,141,141,5401.0,475294.17,184316.23,0.3878,,,late_orders,0.0,Days-to-ship buckets explain shipping speed separately from required-date lateness.
country_fulfillment_risk,country,USA,,country_revenue_rank,1.0,112,35,1004,1004,35844.0,3273280.05,1308815.59,0.3998,3.6604,,non_shipped_status_orders,7.0,Country-level risk checks whether abnormal status or delay is market-concentrated.
