screened_path,entity,row_count,sales_or_matched_rows,profit_or_unmatched_rows,margin_or_coverage_pct,avg_discount,gross_loss,gross_loss_share_pct,screening_decision
order_level_discount,<=0.2 max discount,7978,3482316.99,795348.26,22.84,0.08,-22744.1,7.28,"confirms discount mechanism at order level, but not a separate Gold path because it repeats the line-level discount finding"
order_level_discount,>0.2 max discount,2040,1112084.73,-222554.21,-20.01,0.458,-289518.48,92.72,"confirms discount mechanism at order level, but not a separate Gold path because it repeats the line-level discount finding"
people_join_coverage,Customer ID + Region,19988,19988.0,0.0,100.0,,,,"not core for current lightweight build: people table covers only a small share of order lines, so customer segment/city/state findings would be unstable"
quantity_group,1,1798,106503.87,14880.96,13.97,0.153,-6425.95,2.06,"reasonable supplement, not core: quantity/volume shows conversion differences, but it is confounded with product mix and discount, so it should not displace the main structural mechanisms"
quantity_group,2,4804,578182.96,76896.82,13.3,0.155,-35430.04,11.35,"reasonable supplement, not core: quantity/volume shows conversion differences, but it is confounded with product mix and discount, so it should not displace the main structural mechanisms"
quantity_group,3,4818,844121.2,114031.05,13.51,0.153,-44840.73,14.36,"reasonable supplement, not core: quantity/volume shows conversion differences, but it is confounded with product mix and discount, so it should not displace the main structural mechanisms"
quantity_group,4-5,4842,1478665.38,187479.97,12.68,0.157,-114318.56,36.61,"reasonable supplement, not core: quantity/volume shows conversion differences, but it is confounded with product mix and discount, so it should not displace the main structural mechanisms"
quantity_group,6+,3726,1586928.31,179505.24,11.31,0.162,-111247.29,35.63,"reasonable supplement, not core: quantity/volume shows conversion differences, but it is confounded with product mix and discount, so it should not displace the main structural mechanisms"
ship_days,0,1038,249815.38,30771.94,12.32,0.152,-17716.42,5.67,"not core: shipping delay varies, but the table has no explicit shipping cost and the pattern is less directly tied to profit leakage than discount/product/region"
ship_days,1,738,135950.66,15082.45,11.09,0.163,-9011.69,2.89,"not core: shipping delay varies, but the table has no explicit shipping cost and the pattern is less directly tied to profit leakage than discount/product/region"
ship_days,2,2669,736620.44,106233.36,14.42,0.147,-36717.75,11.76,"not core: shipping delay varies, but the table has no explicit shipping cost and the pattern is less directly tied to profit leakage than discount/product/region"
ship_days,3,2008,409046.71,53774.99,13.15,0.152,-27391.6,8.77,"not core: shipping delay varies, but the table has no explicit shipping cost and the pattern is less directly tied to profit leakage than discount/product/region"
ship_days,4,5545,1263700.58,142221.96,11.25,0.167,-94079.29,30.13,"not core: shipping delay varies, but the table has no explicit shipping cost and the pattern is less directly tied to profit leakage than discount/product/region"
ship_days,5,4342,989291.3,117493.71,11.88,0.156,-60738.11,19.45,"not core: shipping delay varies, but the table has no explicit shipping cost and the pattern is less directly tied to profit leakage than discount/product/region"
ship_days,6,2407,480617.62,66570.18,13.85,0.142,-33624.25,10.77,"not core: shipping delay varies, but the table has no explicit shipping cost and the pattern is less directly tied to profit leakage than discount/product/region"
ship_days,7,1241,329359.02,40645.45,12.34,0.161,-32983.47,10.56,"not core: shipping delay varies, but the table has no explicit shipping cost and the pattern is less directly tied to profit leakage than discount/product/region"
ship_mode,First Class,3076,702856.85,97939.68,13.93,0.165,-45320.54,14.51,"reasonable supplement, not core: Standard Class carries most loss exposure, but it also dominates row/sales volume and is weaker as a structural mechanism than discount/product/region"
ship_mode,Same Day,1086,256726.25,31783.52,12.38,0.152,-17796.21,5.7,"reasonable supplement, not core: Standard Class carries most loss exposure, but it also dominates row/sales volume and is weaker as a structural mechanism than discount/product/region"
ship_mode,Second Class,3890,918387.14,114893.27,12.51,0.139,-48448.75,15.52,"reasonable supplement, not core: Standard Class carries most loss exposure, but it also dominates row/sales volume and is weaker as a structural mechanism than discount/product/region"
ship_mode,Standard Class,11936,2716431.49,328177.57,12.08,0.16,-200697.07,64.27,"reasonable supplement, not core: Standard Class carries most loss exposure, but it also dominates row/sales volume and is weaker as a structural mechanism than discount/product/region"
time_year,2013,1993,484247.5,49543.97,10.23,0.158,-31892.77,10.21,"not core in lightweight sample: all bundled order lines are in the same year, so no temporal trend can be validated"
time_year,2014,2102,470532.51,61618.6,13.1,0.156,-32529.39,10.42,"not core in lightweight sample: all bundled order lines are in the same year, so no temporal trend can be validated"
time_year,2015,4573,1092721.33,131270.9,12.01,0.156,-69730.49,22.33,"not core in lightweight sample: all bundled order lines are in the same year, so no temporal trend can be validated"
time_year,2016,5421,1204479.53,155126.12,12.88,0.156,-86400.8,27.67,"not core in lightweight sample: all bundled order lines are in the same year, so no temporal trend can be validated"
time_year,2017,2587,609205.6,81795.17,13.43,0.155,-37872.93,12.13,"not core in lightweight sample: all bundled order lines are in the same year, so no temporal trend can be validated"
time_year,2018,3312,733215.26,93439.27,12.74,0.156,-53836.19,17.24,"not core in lightweight sample: all bundled order lines are in the same year, so no temporal trend can be validated"
