evidence_block,grain,item,item_2,item_3,rank_label,rank_value,release_year,start_year,end_year,games,game_platforms,platforms,publishers,genres,regions,reported_sales_volume,sales_share,avg_sales_per_game_platform,secondary_value,secondary_label,notes
region_market_baseline,region,North America,,,region_sales_rank,1.0,,,,11360,16326,31,,,1,4335.07,0.4916,0.2655,,not_applicable,Quantify regional market baseline before interpreting global hits as broadly balanced.
region_market_baseline,region,Europe,,,region_sales_rank,2.0,,,,11360,16326,31,,,1,2410.37,0.2733,0.1476,,not_applicable,Quantify regional market baseline before interpreting global hits as broadly balanced.
region_market_baseline,region,Japan,,,region_sales_rank,3.0,,,,11360,16326,31,,,1,1284.33,0.1456,0.0787,,not_applicable,Quantify regional market baseline before interpreting global hits as broadly balanced.
region_market_baseline,region,Other,,,region_sales_rank,4.0,,,,11360,16326,31,,,1,789.33,0.0895,0.0483,,not_applicable,Quantify regional market baseline before interpreting global hits as broadly balanced.
game_sales_concentration,all_games,top_10_games,Wii Sports,,top10_sales_share,,,,,11360,,,,,,410.6,0.0466,,0.0094,top_game_sales_share,Use concentration to separate a few global hits from the long tail.
top_game_regional_balance,game,Wii Sports,North America,,game_sales_rank,1.0,,,,1,1,1,,,4,82.74,0.0094,82.74,0.5015,dominant_region_share,Top games should be checked for regional balance rather than assumed to be evenly global.
top_game_regional_balance,game,Grand Theft Auto V,North America,,game_sales_rank,5.0,,,,1,5,5,,,4,55.92,0.0063,11.184,0.4195,dominant_region_share,Top games should be checked for regional balance rather than assumed to be evenly global.
top_game_regional_balance,game,Super Mario Bros.,North America,,game_sales_rank,9.0,,,,1,2,2,,,4,45.31,0.0051,22.655,0.7168,dominant_region_share,Top games should be checked for regional balance rather than assumed to be evenly global.
top_game_regional_balance,game,Tetris,North America,,game_sales_rank,13.0,,,,1,2,2,,,4,35.84,0.0041,17.92,0.7302,dominant_region_share,Top games should be checked for regional balance rather than assumed to be evenly global.
top_game_regional_balance,game,Mario Kart Wii,North America,,game_sales_rank,17.0,,,,1,1,1,,,4,35.83,0.0041,35.83,0.4424,dominant_region_share,Top games should be checked for regional balance rather than assumed to be evenly global.
platform_regional_balance,platform,PS2,North America,,platform_sales_rank,1.0,,,,2127,2127,1,,,4,1233.56,0.1399,0.58,0.4644,dominant_region_share,Platform strength can be global or region-skewed; this block identifies the difference.
platform_regional_balance,platform,X360,North America,,platform_sales_rank,5.0,,,,1234,1235,1,,,4,972.18,0.1102,0.7872,0.613,dominant_region_share,Platform strength can be global or region-skewed; this block identifies the difference.
platform_regional_balance,platform,PS3,North America,,platform_sales_rank,12.0,,,,1303,1303,1,,,4,949.38,0.1077,0.7286,0.4096,dominant_region_share,Platform strength can be global or region-skewed; this block identifies the difference.
platform_regional_balance,platform,Wii,North America,,platform_sales_rank,14.0,,,,1290,1290,1,,,4,909.2,0.1031,0.7048,0.547,dominant_region_share,Platform strength can be global or region-skewed; this block identifies the difference.
cross_region_coverage,game_region_coverage_bucket,four_region_games,,,coverage_bucket_sales_rank,1.0,,,,1963,3526,,,,,5236.55,0.5938,1.4851,,not_applicable,Coverage buckets show whether global volume is carried by broadly distributed games or narrower regional successes.
cross_region_coverage,game_region_coverage_bucket,three_region_games,,,coverage_bucket_sales_rank,2.0,,,,3578,6349,,,,,2725.35,0.309,0.4293,,not_applicable,Coverage buckets show whether global volume is carried by broadly distributed games or narrower regional successes.
cross_region_coverage,game_region_coverage_bucket,two_region_games,,,coverage_bucket_sales_rank,3.0,,,,2185,2527,,,,,453.9,0.0515,0.1796,,not_applicable,Coverage buckets show whether global volume is carried by broadly distributed games or narrower regional successes.
cross_region_coverage,game_region_coverage_bucket,one_region_games,,,coverage_bucket_sales_rank,4.0,,,,3634,3924,,,,,403.3,0.0457,0.1028,,not_applicable,Coverage buckets show whether global volume is carried by broadly distributed games or narrower regional successes.
