evidence_block,grain,item,item_2,item_3,rank_label,rank_value,transactions,customers,brands,reviews,revenue,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_rating,transaction_share_pct,review_share_pct,notes
brand_demand_baseline,brand,Frostie,,,transaction_rank,23.0,1,1,1,86,3.0,1.91,63.6667,3.0349,0.0158,12.0617,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Diet Stewarts,,,transaction_rank,22.0,1,1,1,0,3.0,1.72,57.3333,,0.0158,0.0,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Virgil's,,,transaction_rank,21.0,2,2,1,57,6.0,3.48,58.0,3.0877,0.0317,7.9944,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,River City,,,transaction_rank,20.0,2,2,1,132,6.0,3.82,63.6667,3.1515,0.0317,18.5133,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Thomas Kemper,,,transaction_rank,19.0,7,7,1,55,21.0,13.37,63.6667,3.2182,0.1109,7.7139,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Sprecher,,,transaction_rank,18.0,19,19,1,52,57.0,36.29,63.6667,3.2115,0.301,7.2931,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,A&W,,,transaction_rank,17.0,147,129,1,8,411.0,349.26,84.9781,3.25,2.3289,1.122,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,A.J. Stephans,,,transaction_rank,16.0,274,220,1,20,764.0,495.48,64.8534,3.2,4.3409,2.805,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Mug,,,transaction_rank,15.0,283,224,1,17,785.0,671.8,85.5796,2.8824,4.4835,2.3843,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Barq's,,,transaction_rank,14.0,284,221,1,19,798.0,684.4,85.7644,2.5789,4.4994,2.6648,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Bulldog,,,transaction_rank,13.0,307,236,1,25,921.0,607.86,66.0,3.0,4.8638,3.5063,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Bundaberg,,,transaction_rank,12.0,333,241,1,15,999.0,616.05,61.6667,2.8,5.2757,2.1038,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Abita,,,transaction_rank,11.0,334,252,1,18,1002.0,624.58,62.3333,2.8333,5.2915,2.5245,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Bedfords,,,transaction_rank,10.0,352,264,1,17,1056.0,668.8,63.3333,3.1176,5.5767,2.3843,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Dad's,,,transaction_rank,9.0,359,249,1,20,1077.0,624.66,58.0,2.75,5.6876,2.805,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Henry Weinhard's,,,transaction_rank,8.0,385,279,1,18,1155.0,716.1,62.0,3.1111,6.0995,2.5245,Establish brand demand scale before judging brand quality.
brand_demand_baseline,brand,Dominion,,,transaction_rank,7.0,394,298,1,17,1182.0,669.8,56.6667,3.7059,6.2421,2.3843,Establish brand demand scale before judging brand quality.
