evidence_block,grain,item,item_2,item_3,rank_label,rank_value,transactions,customers,brands,reviews,revenue,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_rating,transaction_share_pct,review_share_pct,notes
subscription_value_baseline,subscription_group,FALSE,,,transaction_rank,2.0,2909,255,,328,8557.0,5510.59,64.3986,2.991,11.4078,1.2863,Compare subscriber and non-subscriber value before treating email reach as engagement.
subscription_value_baseline,subscription_group,TRUE,,,transaction_rank,1.0,3403,299,,385,9939.0,6374.54,64.1366,3.1397,11.3813,1.2876,Compare subscriber and non-subscriber value before treating email reach as engagement.
subscription_review_engagement,subscription_group,FALSE,2,2,purchase_review_rank_gap,0.0,2909,255,,328,8557.0,5510.59,64.3986,2.991,11.4078,1.2863,Check whether subscription status aligns with review participation.
subscription_review_engagement,subscription_group,TRUE,1,1,purchase_review_rank_gap,0.0,3403,299,,385,9939.0,6374.54,64.1366,3.1397,11.3813,1.2876,Check whether subscription status aligns with review participation.
subscription_gender_mix,subscription_gender,FALSE,F,,customers_in_group,125.0,1463,125,,157,4299.0,2769.29,64.4171,2.9664,,,Audit whether subscription effects are actually gender-composition effects.
subscription_gender_mix,subscription_gender,TRUE,F,,customers_in_group,152.0,1769,152,,195,5167.0,3309.62,64.053,3.2511,,,Audit whether subscription effects are actually gender-composition effects.
subscription_gender_mix,subscription_gender,TRUE,M,,customers_in_group,147.0,1634,147,,190,4772.0,3064.92,64.2272,3.0122,,,Audit whether subscription effects are actually gender-composition effects.
subscription_gender_mix,subscription_gender,FALSE,M,,customers_in_group,130.0,1446,130,,171,4258.0,2741.3,64.38,3.0116,,,Audit whether subscription effects are actually gender-composition effects.
subscription_tenure_mix,subscription_tenure,FALSE,early_first_purchase,,customers_in_group,215.0,2466,215,,284,7252.0,4677.78,64.5033,3.02,,,Check whether subscription status is confounded with customer tenure.
subscription_tenure_mix,subscription_tenure,FALSE,later_first_purchase,,customers_in_group,40.0,443,40,,44,1305.0,832.81,63.8169,2.816,,,Check whether subscription status is confounded with customer tenure.
subscription_tenure_mix,subscription_tenure,TRUE,early_first_purchase,,customers_in_group,241.0,2760,241,,304,8054.0,5159.76,64.0646,3.1518,,,Check whether subscription status is confounded with customer tenure.
subscription_tenure_mix,subscription_tenure,TRUE,later_first_purchase,,customers_in_group,58.0,643,58,,81,1885.0,1214.78,64.4446,3.0951,,,Check whether subscription status is confounded with customer tenure.
subscription_brand_preference,subscription_brand,FALSE,IBC,1,brand_rank_in_subscription,1.0,255,165,1,,765.0,507.45,66.3333,,,,Identify whether subscriber and non-subscriber demand is led by different brands.
subscription_brand_preference,subscription_brand,FALSE,Fitz's,2,brand_rank_in_subscription,2.0,234,164,1,,702.0,446.94,63.6667,,,,Identify whether subscriber and non-subscriber demand is led by different brands.
subscription_brand_preference,subscription_brand,FALSE,Gales,3,brand_rank_in_subscription,3.0,229,144,1,,643.0,414.0,64.3857,,,,Identify whether subscriber and non-subscriber demand is led by different brands.
subscription_brand_preference,subscription_brand,FALSE,Sparky's Fresh Draft,4,brand_rank_in_subscription,4.0,210,143,1,,630.0,291.9,46.3333,,,,Identify whether subscriber and non-subscriber demand is led by different brands.
subscription_brand_preference,subscription_brand,FALSE,Captain Eli's,5,brand_rank_in_subscription,5.0,190,135,1,,570.0,362.9,63.6667,,,,Identify whether subscriber and non-subscriber demand is led by different brands.
subscription_brand_preference,subscription_brand,TRUE,Gales,1,brand_rank_in_subscription,1.0,294,193,1,,802.0,508.0,63.3416,,,,Identify whether subscriber and non-subscriber demand is led by different brands.
subscription_brand_preference,subscription_brand,TRUE,IBC,2,brand_rank_in_subscription,2.0,282,168,1,,846.0,561.18,66.3333,,,,Identify whether subscriber and non-subscriber demand is led by different brands.
subscription_brand_preference,subscription_brand,TRUE,Fitz's,3,brand_rank_in_subscription,3.0,252,162,1,,756.0,481.32,63.6667,,,,Identify whether subscriber and non-subscriber demand is led by different brands.
subscription_brand_preference,subscription_brand,TRUE,Sparky's Fresh Draft,4,brand_rank_in_subscription,4.0,243,173,1,,729.0,337.77,46.3333,,,,Identify whether subscriber and non-subscriber demand is led by different brands.
subscription_brand_preference,subscription_brand,TRUE,Captain Eli's,5,brand_rank_in_subscription,5.0,229,158,1,,687.0,437.39,63.6667,,,,Identify whether subscriber and non-subscriber demand is led by different brands.
subscription_container_price_mix,subscription_container,TRUE,Can,,avg_purchase_price,2.868667917448405,533,233,6,,1529.0,1110.57,72.6337,,,,Separate subscription behavior from container and price mix.
subscription_container_price_mix,subscription_container,FALSE,Can,,avg_purchase_price,2.8947368421052633,437,202,6,,1265.0,924.92,73.1162,,,,Separate subscription behavior from container and price mix.
subscription_container_price_mix,subscription_container,FALSE,Bottle,,avg_purchase_price,2.9498381877022655,2472,255,19,,7292.0,4585.67,62.8863,,,,Separate subscription behavior from container and price mix.
subscription_container_price_mix,subscription_container,TRUE,Bottle,,avg_purchase_price,2.9303135888501743,2870,299,22,,8410.0,5263.97,62.5918,,,,Separate subscription behavior from container and price mix.
subscription_quality_mismatch,subscription_group,FALSE,2,2/1,max_purchase_quality_rank_gap,1.0,2909,255,,328,8557.0,5510.59,64.3986,2.991,11.4078,1.2863,Find whether subscriber purchase scale diverges from rating or margin proxy quality.
subscription_quality_mismatch,subscription_group,TRUE,1,1/2,max_purchase_quality_rank_gap,1.0,3403,299,,385,9939.0,6374.54,64.1366,3.1397,11.3813,1.2876,Find whether subscriber purchase scale diverges from rating or margin proxy quality.
