evidence_block,grain,item,item_2,item_3,rank_label,rank_value,release_year,start_year,end_year,games,game_platforms,platforms,publishers,genres,regions,reported_sales_volume,sales_share,avg_sales_per_game_platform,secondary_value,secondary_label,notes
release_year_market_baseline,release_year,2008,,,release_year_sales_rank,1.0,2008,,,1039,1428,9,165,,,678.49,0.0769,0.4751,1.3744,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2009,,,release_year_sales_rank,2.0,2009,,,1003,1431,7,160,,,667.1,0.0756,0.4662,1.4267,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2007,,,release_year_sales_rank,3.0,2007,,,887,1202,11,142,,,610.44,0.0692,0.5079,1.3551,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2010,,,release_year_sales_rank,4.0,2010,,,903,1259,7,143,,,600.36,0.0681,0.4769,1.3942,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2006,,,release_year_sales_rank,5.0,2006,,,775,1008,10,112,,,520.52,0.059,0.5164,1.3006,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2011,,,release_year_sales_rank,6.0,2011,,,782,1139,9,121,,,515.93,0.0585,0.453,1.4565,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2005,,,release_year_sales_rank,7.0,2005,,,659,941,8,84,,,461.07,0.0523,0.49,1.4279,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2004,,,release_year_sales_rank,8.0,2004,,,551,763,7,80,,,418.85,0.0475,0.549,1.3848,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2002,,,release_year_sales_rank,9.0,2002,,,631,829,8,99,,,394.97,0.0448,0.4764,1.3138,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2013,,,release_year_sales_rank,10.0,2013,,,336,546,11,76,,,367.98,0.0417,0.674,1.625,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2012,,,release_year_sales_rank,11.0,2012,,,449,656,9,100,,,364.88,0.0414,0.5562,1.461,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2003,,,release_year_sales_rank,12.0,2003,,,546,775,6,81,,,357.61,0.0405,0.4614,1.4194,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2014,,,release_year_sales_rank,13.0,2014,,,318,582,11,70,,,337.1,0.0382,0.5792,1.8302,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2001,,,release_year_sales_rank,14.0,2001,,,428,482,10,83,,,331.49,0.0376,0.6877,1.1262,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
release_year_market_baseline,release_year,2015,,,release_year_sales_rank,15.0,2015,,,364,614,10,91,,,264.26,0.03,0.4304,1.6868,platform_versions_per_game,Year-level baseline distinguishes release supply from sales conversion.
platform_lifecycle_summary,platform,PS3,2011,2011,platform_sales_rank,3.0,,2006,2016,1303,1303,1,,,,949.38,0.1077,0.7286,1.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,DS,2007,2008,platform_sales_rank,5.0,,1985,2020,2133,2133,1,,,,817.94,0.0927,0.3835,0.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,GB,1989,2000,platform_sales_rank,11.0,,1988,2001,97,97,1,,,,254.43,0.0288,2.623,0.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,GBA,2004,2002,platform_sales_rank,7.0,,2000,2007,811,811,1,,,,312.88,0.0355,0.3858,0.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,N64,1999,1999,platform_sales_rank,15.0,,1996,2002,316,316,1,,,,218.01,0.0247,0.6899,1.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,PS2,2004,2002,platform_sales_rank,1.0,,2000,2011,2127,2127,1,,,,1233.56,0.1399,0.58,0.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,Wii,2009,2009,platform_sales_rank,4.0,,2006,2015,1290,1290,1,,,,909.2,0.1031,0.7048,1.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,X360,2010,2011,platform_sales_rank,2.0,,2005,2016,1234,1235,1,,,,972.18,0.1102,0.7872,0.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,PC,2011,2011,platform_sales_rank,10.0,,1985,2016,942,943,1,,,,254.62,0.0289,0.27,1.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,NES,1985,1986,platform_sales_rank,13.0,,1983,1994,98,98,1,,,,251.05,0.0285,2.5617,0.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,PSP,2006,2006,platform_sales_rank,8.0,,2004,2015,1197,1197,1,,,,291.66,0.0331,0.2437,1.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,3DS,2011,2011,platform_sales_rank,14.0,,2011,2016,500,500,1,,,,246.18,0.0279,0.4924,1.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,PS,1998,1998,platform_sales_rank,6.0,,1994,2003,1189,1189,1,,,,727.56,0.0825,0.6119,1.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,PS4,2015,2015,platform_sales_rank,9.0,,2013,2017,336,336,1,,,,278.16,0.0315,0.8279,1.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
platform_lifecycle_summary,platform,XB,2004,2003,platform_sales_rank,12.0,,2000,2008,803,803,1,,,,251.57,0.0285,0.3133,0.0,peak_sales_year_matches_peak_release_count_year,Platform lifecycle needs both sales peak and release-count peak; they need not match.
selected_platform_phase_profile,platform_phase,PS2,early_phase,,platform_sales_rank,1.0,,,,,803,1,,,,595.29,0.4826,0.7413,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,X360,late_phase,,platform_sales_rank,2.0,,,,,188,1,,,,139.84,0.1438,0.7438,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PS3,early_phase,,platform_sales_rank,3.0,,,,,418,1,,,,347.08,0.3656,0.8303,4.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,Wii,late_phase,,platform_sales_rank,4.0,,,,,22,1,,,,15.37,0.0169,0.6986,3.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,DS,early_phase,,platform_sales_rank,5.0,,,,,1,1,,,,0.02,0.0,0.02,1.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
selected_platform_phase_profile,platform_phase,PS,late_phase,,platform_sales_rank,6.0,,,,,114,1,,,,44.33,0.0609,0.3889,3.0,years_in_phase,"Phase rows show whether platform sales are concentrated early, middle, or late in its release span."
